service,name,id,language,language_code,gender,age,accent,voice_type,style,sample_url,description,category
ElevenLabs,Liza American,VuRqxQ9Gp7j9W7jKWr0P,,,female,young,american,conversational,,https://storage.googleapis.com/eleven-public-prod/V0IEpiQNyEhK13YhEXS29zI5XUs1/voices/hsoiUA4QXKxPDOQ2nTWb/1df7333f-ac44-4e74-8bba-983cde4ac978.mp3,,generated
ElevenLabs,Marjorie ,tgmVNoCaK9bGj86aX4SM,,,female,young,american,conversational,,https://storage.googleapis.com/eleven-public-prod/Q9SVmYccBVhpieeetggIQR8IwlL2/voices/uOiHLkhQYAcyqq9dpsdg/57bbf469-950e-477c-be75-32f999f7f71d.mp3,,generated
ElevenLabs,Pixy,Qw2z0ZamztLIeHDh2ZjX,,,female,young,american,conversational,,https://storage.googleapis.com/eleven-public-prod/TtQqY4JkDeXQQMYLsFbZZkOXYzt2/voices/Xf78viDRbju346BmYdkV/e02d5b94-621c-4317-9542-f5e3fbce2f7d.mp3,,generated
ElevenLabs,Summer,dJRyk2nYsFiqMynYvwAU,,,female,young,american,conversational,,https://storage.googleapis.com/eleven-public-prod/BP3CGfVb2vO8XtLDkGO9L9GzNnp2/voices/qUGArifhGvMyGNqJD1aj/4dcc7e5c-5a73-4d3e-b57b-25ca2a31d0c7.mp3,,generated
ElevenLabs,Tiffany,0Ydje0Z6hKtuAXsZozrK,,,female,young,american,conversational,,https://storage.googleapis.com/eleven-public-prod/SBhE54x6obcrv6Zj1Hh649dv0F52/voices/r0aKiEJV8JgKS1f8Qrry/49bef8c6-dea4-47aa-8ed0-efdba6a44b9d.mp3,,generated
PlayHT,Ronel Conversational,s3://voice-cloning-zero-shot/6c7530a7-a8dc-47d1-a854-37be19f86260/original/manifest.json,Afrikaans,,female,,south african,,,https://parrot-samples.s3.amazonaws.com/v3-samples/Afrikaans+Ronel+Conversational.wav,,PlayHT
PlayHT,Ronel Narrative,s3://voice-cloning-zero-shot/bf646213-cb3c-447b-9d54-57f2b82298fb/original/manifest.json,Afrikaans,,female,,south african,,,https://parrot-samples.s3.amazonaws.com/v3-samples/Afrikaans+Ronel+Narrative.wav,,PlayHT
PlayHT,Ronel Podcast,s3://voice-cloning-zero-shot/d64ed0d1-d3d1-403e-b73f-dcb7238765a4/original/manifest.json,Afrikaans,,female,,south african,,,https://parrot-samples.s3.amazonaws.com/v3-samples/Afrikaans+Ronel+Podcast.wav,,PlayHT
PlayHT,Maryem Conversational,s3://voice-cloning-zero-shot/d44b758a-f3e7-4a7c-af50-02451c7101f4/original/manifest.json,Arabic,,female,,arabic,,,https://parrot-samples.s3.amazonaws.com/v3-samples/Arabic+Maryem+Conversational.wav,,PlayHT
PlayHT,Maryem Narrative,s3://voice-cloning-zero-shot/b6f988dc-c137-4753-ad11-aa7cb0215e17/original/manifest.json,Arabic,,female,,arabic,,,https://parrot-samples.s3.amazonaws.com/v3-samples/Arabic+Maryem+Narrative.wav,,PlayHT
