filename,filepath,extraction_method,extraction_error,title,artist,album,genre,voice,service,lang_code,text,created,copyright,comment,date,year,track,disc,composer,publisher,encoder,bitrate,duration,size,format_name,format_long_name,sample_rate,channels,codec
vocab-item-024.mp3,audio_files/es-CO/vocab-item-024.mp3,ffprobe,,vocab-item-024,Levante Framework - ElevenLabs,"vocab, Vocabulary",Speech Synthesis,Valeria - Energetic & Engaging,ElevenLabs,es-CO,el dumpling,2025-09-03 08:58:25.197544,This file was created for the LEVANTE project and is released under a Creative Commons BY-NC-SA 4.0 license,Levante Project - ElevenLabs - Valeria - Energetic & Engaging - es-CO,2025,2025,,,,,Lavf60.16.100,44149,1.045000,5767,mp3,MP2/3 (MPEG audio layer 2/3),22050,1,mp3
vocab-item-025.mp3,audio_files/es-CO/vocab-item-025.mp3,ffprobe,,vocab-item-025,Levante Framework - ElevenLabs,"vocab, Vocabulary",Speech Synthesis,Valeria - Energetic & Engaging,ElevenLabs,es-CO,el codo,2025-09-03 08:58:26.229667,This file was created for the LEVANTE project and is released under a Creative Commons BY-NC-SA 4.0 license,Levante Project - ElevenLabs - Valeria - Energetic & Engaging - es-CO,2025,2025,,,,,Lavf60.16.100,46248,0.888250,5135,mp3,MP2/3 (MPEG audio layer 2/3),22050,1,mp3
vocab-item-026.mp3,audio_files/es-CO/vocab-item-026.mp3,ffprobe,,vocab-item-026,Levante Framework - ElevenLabs,"vocab, Vocabulary",Speech Synthesis,Valeria - Energetic & Engaging,ElevenLabs,es-CO,el ventilador,2025-09-03 08:58:27.400500,This file was created for the LEVANTE project and is released under a Creative Commons BY-NC-SA 4.0 license,Levante Project - ElevenLabs - Valeria - Energetic & Engaging - es-CO,2025,2025,,,,,Lavf60.16.100,43585,1.097250,5978,mp3,MP2/3 (MPEG audio layer 2/3),22050,1,mp3
vocab-item-027.mp3,audio_files/es-CO/vocab-item-027.mp3,ffprobe,,vocab-item-027,Levante Framework - ElevenLabs,"vocab, Vocabulary",Speech Synthesis,Valeria - Energetic & Engaging,ElevenLabs,es-CO,la espuma,2025-09-03 08:58:28.488434,This file was created for the LEVANTE project and is released under a Creative Commons BY-NC-SA 4.0 license,Levante Project - ElevenLabs - Valeria - Energetic & Engaging - es-CO,2025,2025,,,,,Lavf60.16.100,45473,0.940500,5346,mp3,MP2/3 (MPEG audio layer 2/3),22050,1,mp3
vocab-item-028.mp3,audio_files/es-CO/vocab-item-028.mp3,ffprobe,,vocab-item-028,Levante Framework - ElevenLabs,"vocab, Vocabulary",Speech Synthesis,Valeria - Energetic & Engaging,ElevenLabs,es-CO,la lavapiés,2025-09-03 08:58:29.549222,This file was created for the LEVANTE project and is released under a Creative Commons BY-NC-SA 4.0 license,Levante Project - ElevenLabs - Valeria - Energetic & Engaging - es-CO,2025,2025,,,,,Lavf60.16.100,44156,1.045000,5768,mp3,MP2/3 (MPEG audio layer 2/3),22050,1,mp3
vocab-item-029.mp3,audio_files/es-CO/vocab-item-029.mp3,ffprobe,,vocab-item-029,Levante Framework - ElevenLabs,"vocab, Vocabulary",Speech Synthesis,Valeria - Energetic & Engaging,ElevenLabs,es-CO,el pastel de frutas,2025-09-03 08:58:30.679750,This file was created for the LEVANTE project and is released under a Creative Commons BY-NC-SA 4.0 license,Levante Project - ElevenLabs - Valeria - Energetic & Engaging - es-CO,2025,2025,,,,,Lavf60.16.100,41400,1.358250,7029,mp3,MP2/3 (MPEG audio layer 2/3),22050,1,mp3
vocab-item-030.mp3,audio_files/es-CO/vocab-item-030.mp3,ffprobe,,vocab-item-030,Levante Framework - ElevenLabs,"vocab, Vocabulary",Speech Synthesis,Valeria - Energetic & Engaging,ElevenLabs,es-CO,la canaleta,2025-09-03 08:58:31.823694,This file was created for the LEVANTE project and is released under a Creative Commons BY-NC-SA 4.0 license,Levante Project - ElevenLabs - Valeria - Energetic & Engaging - es-CO,2025,2025,,,,,Lavf60.16.100,43570,1.097250,5976,mp3,MP2/3 (MPEG audio layer 2/3),22050,1,mp3
vocab-item-031.mp3,audio_files/es-CO/vocab-item-031.mp3,ffprobe,,vocab-item-031,Levante Framework - ElevenLabs,"vocab, Vocabulary",Speech Synthesis,Valeria - Energetic & Engaging,ElevenLabs,es-CO,el hámster,2025-09-03 08:58:32.841803,This file was created for the LEVANTE project and is released under a Creative Commons BY-NC-SA 4.0 license,Levante Project - ElevenLabs - Valeria - Energetic & Engaging - es-CO,2025,2025,,,,,Lavf60.16.100,44788,0.992750,5558,mp3,MP2/3 (MPEG audio layer 2/3),22050,1,mp3
vocab-item-032.mp3,audio_files/es-CO/vocab-item-032.mp3,ffprobe,,vocab-item-032,Levante Framework - ElevenLabs,"vocab, Vocabulary",Speech Synthesis,Valeria - Energetic & Engaging,ElevenLabs,es-CO,el erizo,2025-09-03 08:58:33.881588,This file was created for the LEVANTE project and is released under a Creative Commons BY-NC-SA 4.0 license,Levante Project - ElevenLabs - Valeria - Energetic & Engaging - es-CO,2025,2025,,,,,Lavf60.16.100,47639,0.809750,4822,mp3,MP2/3 (MPEG audio layer 2/3),22050,1,mp3
vocab-item-033.mp3,audio_files/es-CO/vocab-item-033.mp3,ffprobe,,vocab-item-033,Levante Framework - ElevenLabs,"vocab, Vocabulary",Speech Synthesis,Valeria - Energetic & Engaging,ElevenLabs,es-CO,la azadilla,2025-09-03 08:58:34.934522,This file was created for the LEVANTE project and is released under a Creative Commons BY-NC-SA 4.0 license,Levante Project - ElevenLabs - Valeria - Energetic & Engaging - es-CO,2025,2025,,,,,Lavf60.16.100,44149,1.045000,5767,mp3,MP2/3 (MPEG audio layer 2/3),22050,1,mp3
