service,name,id,language,language_code,gender,age,accent,voice_type,style,sample_url,description,category
ElevenLabs,Catherine - Smooth and Mature,iCLvWzcMujFoJcUyBsZq,,,female,middle_aged,american,conversational,,https://storage.googleapis.com/eleven-public-prod/tbwN9Mrau5dOo6z2xev3tXVU4kO2/voices/o9GuIfD8IKU639dE8P2u/5e9c3666-0f75-4371-acfb-29c7749caea6.mp3,,generated
ElevenLabs,Chad,WLEI8D2n85chN78C26mu,,,,,,,,https://storage.googleapis.com/eleven-public-prod/database/user/nSAdwKASuVUwVTTBj4gHMiepSDz1/voices/WLEI8D2n85chN78C26mu/a54e178f-5d1a-49a7-be2e-2c1ccda77ba5.mp3,,shared
ElevenLabs,Chad Troftgruben,WQcQveC0hbQNvI69FWyU,,,,,,,,https://storage.googleapis.com/eleven-public-prod/database/user/eBE3Sa2zDuTzXgsCqXagzVUtnIz1/voices/WQcQveC0hbQNvI69FWyU/EeXqBZYaiSsRxGSQl4jb.mp3,,shared
ElevenLabs,Charlie,IKne3meq5aSn9XLyUdCD,en,en,male,young,australian,conversational,,https://storage.googleapis.com/eleven-public-prod/premade/voices/IKne3meq5aSn9XLyUdCD/102de6f2-22ed-43e0-a1f1-111fa75c5481.mp3,,premade
ElevenLabs,Charlotte,XB0fDUnXU5powFXDhCwa,en,en,female,young,swedish,characters_animation,,https://storage.googleapis.com/eleven-public-prod/premade/voices/XB0fDUnXU5powFXDhCwa/942356dc-f10d-4d89-bda5-4f8505ee038b.mp3,,premade
ElevenLabs,Chris,iP95p4xoKVk53GoZ742B,en,en,male,middle_aged,american,conversational,,https://storage.googleapis.com/eleven-public-prod/premade/voices/iP95p4xoKVk53GoZ742B/3f4bde72-cc48-40dd-829f-57fbf906f4d7.mp3,,premade
ElevenLabs,Clarice – Soft & Smooth Late-Night Storyteller,vQSmovmw0GQKhfDjdkLJ,,,,,,,,https://storage.googleapis.com/eleven-public-prod/database/workspace/ed9b05e6324c457685490352e9a1ec90/voices/vQSmovmw0GQKhfDjdkLJ/9J6qfWGJ3y8gt2SW7Ox6.mp3,,shared
ElevenLabs,"Claudia - Credible, Competent & Authentic",yu4eXTP5aod8KAQzTI3T,en,en,female,middle_aged,american,conversational,,https://storage.googleapis.com/eleven-public-prod/database/user/Db6dCWW3pFVb0DPq7Q5s86VmuNQ2/voices/yu4eXTP5aod8KAQzTI3T/8zgX5ljCJ8kmBL0Q8rx7.mp3,,professional
ElevenLabs,Confident and Natural Male Voice,6TFhsqnoNUsm5YZhNJ8L,,,,,,,,https://storage.googleapis.com/eleven-public-prod/database/user/3NJL2N5cYVfObM7k6P3tU9XOXA52/voices/6TFhsqnoNUsm5YZhNJ8L/69e7ab3a-db0c-42ad-bc4f-2a38129d4eed.mp3,,shared
ElevenLabs,Cool Calm Kay,TfVjIROhkRShQb9pCFfK,,,,,,,,https://storage.googleapis.com/eleven-public-prod/database/user/odcdNypJGtetCJxXKG0NRgt056p2/voices/TfVjIROhkRShQb9pCFfK/e5e92675-1bac-4c9e-981f-9fd2f4f4c668.mp3,,shared
ElevenLabs,Cornelia ,VGPs8uAVxETgmG3lNnZD,de,de,female,young,standard,narrative_story,,https://storage.googleapis.com/eleven-public-prod/database/user/wNOAlbg4iUX6Y2zfYXQrz9Wngf53/voices/VGPs8uAVxETgmG3lNnZD/bymnjsok1n28NLqH7Q9I.mp3,,professional
ElevenLabs,Dana - German conversation,otF9rqKzRHFgfwf6serQ,de,de,female,middle_aged,standard,conversational,,https://storage.googleapis.com/eleven-public-prod/database/user/5JwJPk12vAS9eH3MRvAL2u0jmK43/voices/otF9rqKzRHFgfwf6serQ/j5W8SlvdWvXUay5gIRZE.mp3,,professional
